pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty
6973,EQ,nse_cm,,DMCC,DMCC-EQ,,DMCC,INE505A01010,,,,DMCC SPECIALITY CHEMICALS,,,5,1,-1,-1,2,-1,NSE,,,1322784000,,1322784000,0,0,1378425600,1378944000,0,282.10-423.10,0,0,1378058543,,,,,,,,,,CASH,,,,,1000,,,,3.50,15.06,,,T+1,315513000,0,1,283591,1,0,42310,28210,1,1,1,0,0,1,0,2.49399e+07,0,0,283591
6979,BL,nse_cm,,DMCC,DMCC-BL,,DMCC-BL,INE505A01010,,,,DMCC SPECIALITY CHEMICALS,,,5,1,-1,-1,2,-1,NSE,,,1322784000,,1322784000,0,0,1378425600,1378944000,0,349.10-356.10,0,0,1378055676,,,,,,,,,,CASH,,,,,1000,,,,,,,,T+1,315513000,0,1,0,1,0,35610,34910,1,1,1,0,0,1,0,2.49399e+07,0,0,99999999
13821,EQ,nse_cm,,RUCHIRA,RUCHIRA-EQ,,RUCHIRA,INE803H01014,,,,RUCHIRA PAPERS LIMITED,,,5,1,-1,-1,2,-1,NSE,,,851040000,,851040000,0,0,0,0,1349913600,120.15-180.15,0,0,1378058543,,,,,,,,,,CASH,,,,,1000,,,,0,20,,,T+1,315513000,0,1,665990,1,0,18015,12015,1,1,1,0,0,1,0,2.9845e+07,0,0,665990
13823,BL,nse_cm,,RUCHIRA,RUCHIRA-BL,,RUCHIRA-BL,INE803H01014,,,,RUCHIRA PAPERS LIMITED,,,5,1,-1,-1,2,-1,NSE,,,851040000,,851040000,0,0,0,0,1349913600,148.65-151.65,0,0,1378055684,,,,,,,,,,CASH,,,,,1000,,,,,,,,T+1,315513000,0,1,0,1,0,15165,14865,1,1,1,0,0,1,0,2.9845e+07,0,0,99999999
13826,EQ,nse_cm,,SOBHA,SOBHA-EQ,,SOBHA,INE671H01015,,,,SOBHA LIMITED,,,5,1,-1,-1,2,-1,NSE,,,851040000,,851040000,0,0,0,0,1374969600,488.20-732.20,0,0,1378058543,,,,,,,,,,CASH,,,,,1000,,,,0,20,,,T+1,315513000,0,1,163798,1,0,73220,48820,1,1,1,0,0,1,0,9.48459e+07,0,0,163798
13828,BL,nse_cm,,SOBHA,SOBHA-BL,,SOBHA-BL,INE671H01015,,,,SOBHA LIMITED,,,5,1,-1,-1,2,-1,NSE,,,851040000,,851040000,0,0,0,0,1374969600,604.10-616.30,0,0,1378055684,,,,,,,,,,CASH,,,,,1000,,,,,,,,T+1,315513000,0,1,0,1,0,61630,60410,1,1,1,0,0,1,0,9.48459e+07,0,0,99999999
6981,GS,nse_cm,,83GS2040,83GS2040-GS,,83GS2040-GS,IN0020100031,,,,GOI LOAN 8.30% 2040,,,1,1,-1,-1,2,-1,NSE,,,1229472000,,1229472000,0,0,0,0,1356912000,99.32-109.77,0,0,1378054072,,,,,,,,,,CASH,,,,,10000,,,,0,20,,,T+1,315513000,0,1,954000,1,0,10977,9932,1,1,1,0,0,1,0,9e+09,0,0,954000
6986,SG,nse_cm,,473KA23,473KA23-SG,,473KA23-SG,IN1920210110,,,,SDL KA 4.73% 2023,,,1,100,-1,-1,2,-1,NSE,,,1322956800,,1322956800,0,0,0,0,0,95.00-105.00,0,0,1378054072,,,,,,,,,,CASH,,,,,10000,,,,0.00,10.00,,,T+1,315513000,0,1,1000000,100,0,10500,9500,1,1,1,0,0,1,0,1e+08,0,0,1000000
6987,SG,nse_cm,,607RJ26,607RJ26-SG,,607RJ26-SG,IN2920210381,,,,SDL RJ 6.07% 2026,,,1,100,-1,-1,2,-1,NSE,,,1322956800,,1322956800,0,0,0,0,0,95.00-105.00,0,0,1378054072,,,,,,,,,,CASH,,,,,10000,,,,0.00,10.00,,,T+1,315513000,0,1,1000000,100,0,10500,9500,1,1,1,0,0,1,0,5e+07,0,0,1000000
6988,SG,nse_cm,,683KA31,683KA31-SG,,683KA31-SG,IN1920210128,,,,SDL KA 6.83% 2031,,,1,100,-1,-1,2,-1,NSE,,,1322956800,,1322956800,0,0,0,0,0,95.00-105.00,0,0,1378054072,,,,,,,,,,CASH,,,,,10000,,,,0.00,10.00,,,T+1,315513000,0,1,1000000,100,0,10500,9500,1,1,1,0,0,1,0,1e+08,0,0,1000000
13833,NO,nse_cm,,IIFL,IIFL-NO,,IIFL-NO,INE530B07252,,,,SEC RE NCD 8.5% SR.I,,,1,1,-1,-1,2,-1,NSE,,,1359072000,,1359072000,0,0,0,0,0,807.20-1210.80,0,0,1378054074,,,,,,,,,,CASH,,,,,100000,,,,0.00,10.00,,,T+1,315513000,0,1,14922,1,0,121080,80720,1,1,1,0,0,1,0,456339,0,0,14922
13834,BL,nse_cm,,GREENPANEL,GREENPANEL-BL,,GREENPANEL-BL,INE08ZM01014,,,,GREENPANEL INDUSTRIES LTD,,,5,1,-1,-1,2,-1,NSE,,,1256256000,,1256256000,0,0,0,0,1360368000,377.70-385.30,0,0,1378055684,,,,,,,,,,CASH,,,,,100,,,,,,,,T+1,315513000,0,1,0,1,0,38530,37770,1,1,1,0,0,1,0,1.22627e+08,0,0,99999999
13837,BL,nse_cm,,DONEAR,DONEAR-BL,,DONEAR-BL,INE668D01028,,,,DONEAR IND. LIMITED,,,5,1,-1,-1,2,-1,NSE,,,851040000,,851040000,0,0,1347667200,1348185600,0,103.65-105.70,0,0,1378055684,,,,,,,,,,CASH,,,,,200,,,,,,,,T+1,315513000,0,1,0,1,0,10570,10365,1,1,1,0,0,1,0,5.2e+07,0,0,99999999
13839,EQ,nse_cm,,DONEAR,DONEAR-EQ,,DONEAR,INE668D01028,,,,DONEAR IND. LIMITED,,,5,1,-1,-1,2,-1,NSE,,,851040000,,851040000,0,0,1347667200,1348185600,0,83.80-125.60,0,0,1378058543,,,,,,,,,,CASH,,,,,200,,,,0,20,,,T+1,315513000,0,1,955084,1,0,12560,8380,1,1,1,0,0,1,0,5.2e+07,0,0,955084
6990,SG,nse_cm,,684RJ31B,684RJ31B-SG,,684RJ31B-SG,IN2920210399,,,,SDL RJ 6.84% 2031,,,1,100,-1,-1,2,-1,NSE,,,1322956800,,1322956800,0,0,0,0,0,95.00-105.00,0,0,1378054072,,,,,,,,,,CASH,,,,,10000,,,,0.00,10.00,,,T+1,315513000,0,1,1000000,100,0,10500,9500,1,1,1,0,0,1,0,1e+08,0,0,1000000
6991,SG,nse_cm,,687SK31,687SK31-SG,,687SK31-SG,IN3020210032,,,,SDL SK 6.87% 2031,,,1,100,-1,-1,2,-1,NSE,,,1322956800,,1322956800,0,0,0,0,0,95.00-105.00,0,0,1378054072,,,,,,,,,,CASH,,,,,10000,,,,0.00,10.00,,,T+1,315513000,0,1,578790,100,0,10500,9500,1,1,1,0,0,1,0,1.77e+07,0,0,578790
6992,SG,nse_cm,,692AP41,692AP41-SG,,692AP41-SG,IN1020210416,,,,SDL AP 6.92% 2041,,,1,100,-1,-1,2,-1,NSE,,,1322956800,,1322956800,0,0,0,0,0,95.00-105.00,0,0,1378054072,,,,,,,,,,CASH,,,,,10000,,,,0.00,10.00,,,T+1,315513000,0,1,1000000,100,0,10500,9500,1,1,1,0,0,1,0,1e+08,0,0,1000000
6993,SG,nse_cm,,692TN46,692TN46-SG,,692TN46-SG,IN3120210247,,,,SDL TN 6.92% 2046,,,1,100,-1,-1,2,-1,NSE,,,1322956800,,1322956800,0,0,0,0,0,95.00-105.00,0,0,1378054072,,,,,,,,,,CASH,,,,,10000,,,,0.00,10.00,,,T+1,315513000,0,1,1000000,100,0,10500,9500,1,1,1,0,0,1,0,1e+08,0,0,1000000
6994,EQ,nse_cm,,BSOFT,BSOFT-EQ,,BSOFT,INE836A01035,,,,BIRLASOFT LIMITED,,,5,1,-1,-1,2,-1,NSE,,,627868800,,627868800,0,0,0,0,1373760000,475.55-581.15,0,0,1378058543,,,,,,,,,,CASH,,,,,200,,,,0,20,,,T+1,315513000,0,1,189033,1,0,58115,47555,1,1,1,0,0,1,0,2.75158e+08,0,0,189033
13840,NP,nse_cm,,IIFL,IIFL-NP,,IIFL-NP,INE530B07302,,,,SEC RE NCD 0% SR.II,,,1,1,-1,-1,2,-1,NSE,,,1359072000,,1359072000,0,0,0,0,0,804.00-1206.00,0,0,1378054074,,,,,,,,,,CASH,,,,,100000,,,,0.00,10.00,,,T+1,315513000,0,1,9832,1,0,120600,80400,1,1,1,0,0,1,0,300680,0,0,9832
13842,BL,nse_cm,,MMFL,MMFL-BL,,MMFL-BL,INE227C01017,,,,MM FORGINGS LTD,,,5,1,-1,-1,2,-1,NSE,,,851040000,,851040000,0,0,0,0,1369785600,926.30-945.00,0,0,1378055684,,,,,,,,,,CASH,,,,,1000,,,,,,,,T+1,315513000,0,1,0,1,0,94500,92630,1,1,1,0,0,1,0,2.41408e+07,0,0,99999999
13844,EQ,nse_cm,,MMFL,MMFL-EQ,,MMFL,INE227C01017,,,,MM FORGINGS LTD,,,5,1,-1,-1,2,-1,NSE,,,851040000,,851040000,0,0,0,0,1369785600,748.55-1122.75,0,0,1378058543,,,,,,,,,,CASH,,,,,1000,,,,0,20,,,T+1,315513000,0,1,106871,1,0,112275,74855,1,1,1,0,0,1,0,2.41408e+07,0,0,106871
